Name;Party;Municipality;Education;Year of birth;Language;Language skills;Gender;In my wellbeing services county, I should be able to get non-urgent treatment in primary health care within two weeks.;Customer fees for public healthcare should be reduced.;It is right that public money is spent to support people's use of private healthcare.;One round-the-clock specialist hospital with emergency services will be enough in my wellbeing services county in the future.;I am prepared to compromise on the social and health services of my home municipality if it is in the interest of the entire wellbeing services county.;My wellbeing services county should attract doctors to health centers with financial incentives, even if that means cutting spending elsewhere.;My wellbeing services county should attract care staff from abroad.;My wellbeing services county must ensure that caregivers have a good command of Finnish or Swedish.;My wellbeing services county should also offer undocumented people healthcare that is not required by law.;This wellbeing services county should stop providing free contraception for young people.;My wellbeing services county should train social and healthcare workers about the diversity of sexual orientation and gender.;It is right that even small hospitals in Swedish-speaking areas be allowed maintain 24-hour special medical care services due to linguistic rights.;Young people should be able to access mental health services without an appointment in my wellbeing services county.;We should add more beds to 24-hour service housing for the elderly, even if it costs more.;In eldercare, home visits can be replaced by remote services.;Adult children should take more responsibility for caring for their elderly parents than they do now.;We must accept that one's place of residence affects the availability of basic social and healthcare services.;This wellbeing services county should reduce its purchase of child protection services from large companies.;Drug users should have the opportunity to exchange dirty needles for clean ones in all the municipalities in my wellbeing services county.;The current fire brigades must be maintained, even in remote areas.;Wellbeing services counties should be given the right to collect tax.;The number of wellbeing services counties should be reduced from the current 21.;Well-being areas must make budget cuts within the required timeframe, even if that means that services must be quickly reduced.;No-one should be allowed to hold triple roles as MP, municipal councillor and regional councillor at the same time.;My wellbeing services county must take into account the reduction of climate emissions in all its decisions.
Jarmo Haapaniemi;Suomen Sosialidemokraattinen Puolue;Kempele;joku muu;1964;suomi;suomi, ruotsi, englanti;male;3;3;1;1;2;1;2;3;1;0;2;1;2;3;1;2;0;2;3;3;1;1;0;3;2
Jarmo Hannuksela;Liike Nyt;Vaasa;alempi korkeakoulututkinto;1984;suomi;suomi, ruotsi, englanti;male;3;3;2;1;2;0;1;3;1;3;2;2;3;2;2;2;0;3;2;3;1;0;1;2;2
Jarmo Hannula;Perussuomalaiset;Säkylä;ammattitutkinto;1952;suomi;suomi;male;0;1;3;1;2;0;1;3;0;1;2;0;3;3;2;1;2;0;3;3;0;0;3;0;1
Jarmo Hannula;Vihreä liitto;Nurmijärvi;alempi korkeakoulututkinto;1971;suomi;suomi, englanti;male;2;1;0;2;1;0;1;3;1;0;1;0;2;2;1;1;1;3;3;2;3;3;1;3;2
Jarmo Heimo;Suomen Keskusta;Paimio;ylempi korkeakoulututkinto;1952;suomi;suomi, ruotsi, englanti, saksa;male;1;1;1;0;2;1;2;2;0;0;3;2;3;3;0;2;0;2;3;3;0;0;0;3;2
Jarmo Huhtala;Vasemmistoliitto;Rovaniemi;ylempi korkeakoulututkinto;1962;suomi;suomi, ruotsi, englanti;male;3;3;0;0;0;0;2;3;3;0;3;0;3;3;0;2;0;3;3;3;3;1;0;3;3
Jarmo Humalajoki;Perussuomalaiset;Kokkola;alempi korkeakoulututkinto;1988;suomi;suomi;male;2;1;3;3;2;1;1;3;0;0;0;1;2;1;2;2;2;2;0;1;1;2;1;2;1
Jarmo J Husso;Kansallinen Kokoomus;Oulu;alempi korkeakoulututkinto;1953;suomi;suomi, ruotsi, englanti, saksa, ranska;male;3;0;3;3;3;0;2;3;1;1;0;0;3;3;1;3;3;0;3;3;0;3;3;3;2
Jarmo Juga;Suomen Keskusta;Sipoo;ylempi korkeakoulututkinto;1958;suomi;ruotsi, englanti, saksa;male;2;1;2;2;1;2;2;2;1;1;2;1;2;2;1;1;0;1;2;2;1;2;1;1;1
Jarmo Jämsä;Perussuomalaiset;Oulu;ammattitutkinto;1954;suomi;suomi;male;1;2;0;0;2;1;2;3;0;0;1;0;3;3;0;1;3;3;2;3;0;0;0;3;0
Jarmo Kaivo-oja;Vihreä liitto;Kajaani;ylempi korkeakoulututkinto;1966;suomi;suomi, ruotsi, englanti;male;3;2;1;3;2;2;2;3;2;0;3;3;3;3;1;1;3;3;3;3;2;0;1;2;2
Jarmo Kanerva;Perussuomalaiset;Espoo;ylempi korkeakoulututkinto;1963;suomi;suomi, ruotsi, englanti;male;2;2;2;1;1;1;1;2;1;1;2;1;1;2;3;1;2;2;2;2;0;2;1;3;1
Jarmo Lahti;Liike Nyt;Vantaa;ammattitutkinto;1966;suomi;suomi, englanti;male;3;2;2;3;2;2;2;2;1;0;3;1;3;3;2;2;3;2;1;2;0;3;1;3;2
Jarmo Latvala;Kansallinen Kokoomus;Kurikka;ammattitutkinto;1961;suomi;englanti;male;2;2;2;3;2;2;1;3;1;1;1;1;2;2;1;2;1;1;1;2;0;2;1;1;1
Jarmo Linna;Suomen Keskusta;Alavus;ammattitutkinto;1963;suomi;suomi, ruotsi, englanti;male;2;1;2;2;1;1;1;2;2;1;2;2;3;2;1;1;1;1;3;2;1;1;1;2;1
Jarmo Maijanen;Suomen Sosialidemokraattinen Puolue;Lappeenranta;ammattitutkinto;1961;suomi;suomi, englanti;male;3;2;1;1;2;1;2;2;1;1;1;1;1;2;1;2;1;2;2;1;2;1;1;3;1
Jarmo Muiniekka;Suomen Keskusta;Kiuruvesi;ylempi korkeakoulututkinto;1958;suomi;suomi, ruotsi, englanti;male;2;1;2;0;1;1;2;2;1;1;2;1;3;2;1;2;1;1;2;3;0;0;0;0;1
Jarmo Mäkinen;Suomen Sosialidemokraattinen Puolue;Järvenpää;ammattitutkinto;1977;suomi;suomi, englanti;male;3;3;1;1;0;1;2;2;3;0;2;3;3;2;0;1;0;3;3;2;2;1;0;3;2
Jarmo Nahkamäki;Perussuomalaiset;Jyväskylä;alempi korkeakoulututkinto;1963;suomi;suomi, ruotsi, englanti, saksa;male;3;3;2;2;2;0;1;3;0;3;1;0;0;2;1;0;3;2;0;3;0;3;1;3;0
Jarmo Peltola;Liberaalipuolue - Vapaus valita;Leppävirta;ammattitutkinto;1953;suomi;suomi, englanti;male;3;3;1;1;1;2;3;3;3;0;3;0;3;2;2;1;3;2;3;1;3;3;2;3;3
Jarmo Ruohonen;Vasemmistoliitto;Eurajoki;alempi korkeakoulututkinto;1954;suomi;suomi, ruotsi, englanti;male;3;3;1;1;1;1;2;3;2;0;2;2;3;2;1;1;1;3;2;3;2;1;0;1;2
Jarmo Ruuth;Perussuomalaiset;Heinola;ylioppilas;1979;suomi;suomi, englanti;male;1;2;2;2;0;2;1;3;0;0;1;0;3;3;1;2;1;3;2;3;0;2;0;3;0
Jarmo Räisänen;Vasemmistoliitto;Kajaani;ammattitutkinto;1958;suomi;suomi;male;3;1;0;3;0;0;2;3;1;0;1;0;2;3;0;1;0;3;1;3;0;0;0;3;1
Jarmo Saastamoinen;Liike Nyt;Vantaa;alempi korkeakoulututkinto;1976;suomi;ruotsi, englanti;male;2;2;2;1;1;2;1;3;1;1;2;1;2;2;1;1;2;2;2;2;1;2;1;2;1
Jarmo Sallila;Kansallinen Kokoomus;Eurajoki;ammattitutkinto;1951;suomi;suomi;male;2;1;3;2;1;1;2;2;1;1;2;1;1;1;2;1;1;1;2;2;0;2;1;2;2
Jarmo Salo;Suomen Kristillisdemokraatit (KD);Vaasa;ylempi korkeakoulututkinto;1971;suomi;suomi, ruotsi, englanti;male;3;1;2;1;2;1;1;2;1;2;0;1;2;2;1;2;1;2;2;1;0;2;1;2;1
Jarmo Siivikko;Vasemmistoliitto;Inari;ylioppilas;1958;suomi;suomi, ruotsi, englanti;male;3;3;1;0;0;0;1;2;2;0;2;1;3;3;0;2;0;2;1;3;3;2;0;3;1
Jarmo Tanninen;Suomen Sosialidemokraattinen Puolue;Joensuu;ylempi korkeakoulututkinto;1965;suomi;suomi;male;3;2;2;3;3;1;3;3;2;0;1;0;3;3;1;1;2;2;3;3;0;0;0;3;0
Jarmo Toivola;Suomen Keskusta;Tampere;ylempi korkeakoulututkinto;1964;suomi;ruotsi, englanti;male;3;2;1;3;2;1;1;2;2;3;2;1;3;3;2;0;0;0;3;2;1;2;0;2;2
Jarmo Tuppurainen;Kansallinen Kokoomus;Kuopio;alempi korkeakoulututkinto;1982;suomi;suomi, ruotsi, englanti, venäjä;male;2;2;2;3;2;2;3;3;2;0;2;1;3;3;3;3;3;2;2;2;0;3;1;2;2
Jarna Mäkinen;Sitoutumaton;Nokia;ylempi korkeakoulututkinto;1969;suomi;suomi, englanti;female;3;3;1;1;2;0;1;3;2;0;3;0;3;3;1;1;2;3;3;3;0;1;0;2;2
Jarno Hautamäki;Suomen Sosialidemokraattinen Puolue;Järvenpää;ylempi korkeakoulututkinto;1974;suomi;suomi, englanti;male;3;2;0;3;2;1;2;3;1;0;3;1;2;2;1;1;2;2;3;2;1;3;0;3;2
Jarno Kemiläinen;Suomen Sosialidemokraattinen Puolue;Jyväskylä;ammattitutkinto;1975;suomi;suomi;male;3;3;0;2;0;1;2;3;3;0;3;2;3;2;0;1;1;2;3;2;0;0;3;1;3
Jarno Koski;Vasemmistoliitto;Lapinlahti;ammattitutkinto;1973;suomi;suomi, englanti;male;3;3;2;0;1;2;2;2;2;0;3;2;3;3;1;1;0;3;3;2;2;1;0;2;2
Jarno Koskinen;Vasemmistoliitto;Tampere;alempi korkeakoulututkinto;1985;suomi;suomi, englanti;male;3;3;1;1;2;2;2;3;2;0;2;1;2;3;1;2;1;2;3;3;2;1;0;3;3
Jarno Maijanen;Suomen Sosialidemokraattinen Puolue;Lappeenranta;alempi korkeakoulututkinto;2000;suomi;suomi, englanti;male;2;1;0;0;2;0;2;2;0;0;0;0;1;3;2;2;3;2;2;2;0;0;0;3;1
Jarno Nupponen;Vasemmistoliitto;Polvijärvi;ammattitutkinto;1977;suomi;suomi, englanti;male;3;3;0;3;1;2;2;0;1;1;2;1;3;3;0;2;0;3;0;3;3;2;0;3;1
Jarno Reuna;Suomen Keskusta;Valkeakoski;joku muu;1991;suomi;suomi, ruotsi, englanti, saksa;male;2;2;0;2;2;1;1;3;0;1;1;1;1;2;1;2;2;1;2;3;1;3;1;1;0
Jarno Saukko;Suomen Keskusta;Jyväskylä;ylioppilas;2002;suomi;suomi, englanti;male;2;2;2;2;3;2;2;3;2;2;1;1;3;2;1;2;2;3;2;3;0;0;0;1;2
Jarno Schadewitz;Suomen Sosialidemokraattinen Puolue;Sotkamo;ammattitutkinto;1973;suomi;suomi, englanti;male;2;1;2;3;1;0;2;3;0;0;3;0;3;2;1;2;3;3;3;3;0;0;1;3;1
Jarno Teittinen;Perussuomalaiset;Mikkeli;ammattitutkinto;1974;suomi;englanti;male;1;1;2;3;2;0;2;3;0;3;1;0;3;2;2;1;2;3;0;2;0;3;3;1;0
Jarno Tervaniemi;Suomen Sosialidemokraattinen Puolue;Jokioinen;alempi korkeakoulututkinto;1984;suomi;englanti;male;2;2;2;0;2;1;0;3;2;0;1;0;2;2;2;0;0;3;2;3;0;2;0;3;1
Jarno Tuokko;Kansallinen Kokoomus;Sipoo;alempi korkeakoulututkinto;1962;suomi;suomi, englanti;male;2;1;2;1;2;1;2;2;1;1;2;1;2;2;2;2;1;1;2;2;2;2;1;2;1
Jarno Valtonen;Vasemmistoliitto;Pori;ylempi korkeakoulututkinto;1975;suomi;suomi, ruotsi, englanti;male;3;3;1;2;1;0;1;2;3;1;2;2;3;3;1;1;0;3;3;2;3;1;0;2;3
Jasmi Hakala;Suomen Keskusta;Sastamala;ylioppilas;1986;suomi;;female;2;1;1;2;0;1;2;3;1;0;2;1;2;2;1;1;1;2;1;2;1;1;1;2;2
Jasmiina Kangas;Suomen Sosialidemokraattinen Puolue;Kokkola;alempi korkeakoulututkinto;1992;suomi;suomi, ruotsi, englanti;female;3;2;1;0;2;1;1;3;3;0;3;3;3;3;1;2;1;2;3;3;0;0;0;3;2
Jasmiina Kiiski;Suomen Keskusta;Espoo;alempi korkeakoulututkinto;1992;suomi;suomi, ruotsi, englanti, joku muu;female;3;3;1;0;1;2;1;3;2;0;3;3;1;1;1;0;1;2;3;2;2;0;1;2;2
Jasmin Kaarnivuo;Vihreä liitto;Rovaniemi;ylioppilas;2002;suomi;suomi, englanti;female;2;1;2;1;3;2;1;2;1;0;3;1;2;2;0;2;1;1;3;2;2;1;2;2;2
Jasmin Pyöriäinen;Suomen Keskusta;Joensuu;ylempi korkeakoulututkinto;1989;suomi;suomi, ruotsi, englanti;female;3;1;2;3;2;0;2;3;1;1;2;2;1;2;1;2;1;3;2;2;0;0;2;1;1
Jasmin Salmi;Vasemmistoliitto;Mikkeli;alempi korkeakoulututkinto;2001;suomi;suomi, englanti;female;2;3;3;0;2;2;3;2;3;0;3;2;3;3;3;0;2;1;3;3;2;0;1;3;3
Jasmine Westerlund;Vihreä liitto;Turku;ylempi korkeakoulututkinto;1982;suomi;suomi, ruotsi, englanti, saksa;female;2;2;2;0;1;1;2;2;3;0;3;1;3;2;1;1;1;2;3;3;1;2;0;2;3
Jaso Jaakkola;Vihreä liitto;Turku;alempi korkeakoulututkinto;1990;suomi;suomi, englanti;male;2;2;2;0;2;0;2;2;3;0;1;2;3;2;3;2;3;3;3;1;3;2;0;3;3
Jasse Ruokonen;Vasemmistoliitto;Kouvola;ammattitutkinto;1984;suomi;suomi, englanti;male;3;2;1;1;2;2;3;2;3;0;3;2;3;3;1;1;1;2;3;3;2;0;0;2;3
Jasu Hakman;Vasemmistoliitto;Hollola;ylempi korkeakoulututkinto;1992;suomi;suomi, englanti;;2;1;0;3;0;1;0;3;2;0;3;0;3;2;0;0;2;2;3;3;0;2;0;3;3
Jatta Juhola;Suomen Sosialidemokraattinen Puolue;Mikkeli;ylempi korkeakoulututkinto;1977;suomi;suomi, ruotsi, englanti, saksa;female;3;3;1;2;2;1;3;3;3;0;3;0;3;2;1;1;1;2;3;3;1;0;1;1;2
Jatta Salmi;Liike Nyt;Espoo;alempi korkeakoulututkinto;1963;suomi;suomi, ruotsi, englanti, saksa;female;3;2;2;1;0;1;1;3;1;0;2;2;2;3;1;2;1;2;2;3;0;2;0;3;2
Jeanette Björklund;Suomen ruotsalainen kansanpuolue;Parainen;ylempi korkeakoulututkinto;1975;ruotsi;suomi, ruotsi, englanti;female;3;2;2;3;0;3;1;2;2;0;2;2;2;3;2;0;2;3;3;3;1;0;2;3;1
Jeanette Broman;Kansallinen Kokoomus;Porvoo;ammattitutkinto;1989;ruotsi;suomi, ruotsi, englanti;female;1;1;1;2;2;1;2;3;2;2;2;1;2;2;1;2;1;1;3;2;1;0;2;1;2
Jefe Meritoja;Suomen Sosialidemokraattinen Puolue;Oulu;ammattitutkinto;2003;suomi;suomi, englanti;male;3;2;1;1;2;1;2;2;3;0;3;2;3;2;1;0;0;2;3;3;1;0;1;1;2
Jelena Munkki;Vasemmistoliitto;Ulvila;ammattitutkinto;1984;suomi;suomi, englanti;female;3;3;3;1;0;2;0;3;3;0;3;3;3;3;0;2;0;1;3;3;0;0;0;1;2
Jemina Kakko;Kansallinen Kokoomus;Oulu;alempi korkeakoulututkinto;1994;suomi;suomi, englanti;female;1;1;2;1;2;2;3;3;2;0;2;1;3;2;1;1;2;2;2;2;1;1;2;3;3
Jenna Ahonen;Kansallinen Kokoomus;Kuopio;ylempi korkeakoulututkinto;1991;suomi;suomi, ruotsi, englanti;female;1;1;3;3;2;1;2;2;0;1;2;0;3;2;2;1;1;0;2;3;0;3;2;1;2
Jenna Astikainen;Vihreä liitto;Pori;ammattitutkinto;1994;suomi;ruotsi, englanti;female;3;2;2;1;0;2;3;3;2;0;3;3;3;3;0;1;1;1;3;2;2;1;1;2;3
Jenna Gonçalves Da Silva;Vasemmistoliitto;Oulu;ammattitutkinto;1993;suomi;suomi, englanti;female;3;2;1;0;0;3;2;3;3;0;3;2;2;3;0;1;2;3;3;2;3;1;0;1;3
Jenna Hertell;Vasemmistoliitto;Jyväskylä;ylioppilas;1999;suomi;suomi, ruotsi, englanti;female;2;3;0;0;0;2;1;2;3;0;3;2;3;2;0;1;0;3;3;3;2;0;0;3;3
Jenna Jourio;Vihreä liitto;Tuusula;alempi korkeakoulututkinto;1996;suomi;ruotsi, englanti;female;3;3;1;3;1;2;3;3;3;0;3;2;3;2;1;1;1;2;3;2;3;1;0;3;3
Jenna Jäske;Vihreä liitto;Seinäjoki;ammattitutkinto;1984;suomi;suomi, englanti;female;2;3;0;2;2;0;2;3;3;0;3;2;3;3;3;3;3;3;2;2;3;2;0;3;3
Jenna Korva;Vasemmistoliitto;Tampere;ylioppilas;1989;suomi;suomi, ruotsi, englanti, ranska, joku muu;female;3;3;0;1;1;1;1;2;3;0;3;1;3;3;0;0;0;3;3;2;2;0;0;2;2
Jenna Leppänen;Suomen Keskusta;Espoo;ylempi korkeakoulututkinto;1986;suomi;suomi;female;1;2;2;1;2;1;2;2;1;1;3;2;1;3;2;1;2;1;3;2;1;1;0;2;2
Jenna Paananen;Suomen Kristillisdemokraatit (KD);Uurainen;alempi korkeakoulututkinto;1994;suomi;suomi, englanti;female;2;1;2;1;1;2;1;3;1;1;2;1;2;2;2;1;1;2;2;2;1;2;1;1;1
Jenna Perokorpi;Suomen Sosialidemokraattinen Puolue;Porvoo;alempi korkeakoulututkinto;1986;suomi;suomi, ruotsi, englanti;female;1;2;2;3;3;1;2;3;2;0;3;3;3;2;2;1;1;2;2;3;2;1;0;3;2
Jenna Sandberg;Vasemmistoliitto;Kotka;ammattitutkinto;1995;suomi;suomi;female;3;3;1;1;2;2;1;2;2;0;3;1;3;2;2;1;2;3;3;2;2;1;1;2;2
Jenna Väätäinen;Vasemmistoliitto;Kuopio;ylempi korkeakoulututkinto;1993;suomi;englanti;female;2;3;0;2;0;1;1;2;2;0;3;2;2;2;2;0;1;3;2;2;3;0;0;3;3
Jenni Aikio;Vihreä liitto;Kouvola;ylempi korkeakoulututkinto;1985;suomi;englanti;female;2;2;2;0;2;2;2;2;3;0;2;1;3;3;1;1;0;1;3;2;2;1;1;2;3
Jenni Alasuutari;Vihreä liitto;Vantaa;ylempi korkeakoulututkinto;1975;suomi;suomi, ruotsi, englanti, saksa, italia;female;3;1;2;1;1;2;1;3;3;1;2;2;3;3;2;1;1;1;2;3;1;1;2;2;3
Jenni Caven;Vihreä liitto;Kangasala;alempi korkeakoulututkinto;1990;suomi;suomi, englanti;female;3;1;1;3;1;2;3;2;2;0;3;2;3;3;2;0;1;3;3;2;3;2;0;2;3
Jenni Hattukangas-Velling;Vihreä liitto;Espoo;alempi korkeakoulututkinto;1987;ruotsi;suomi, ruotsi, englanti, saksa;female;2;3;1;0;3;1;3;3;3;0;3;1;3;3;0;0;0;3;3;3;2;1;0;3;2
Jenni Hyyppä;Suomen Keskusta;Seinäjoki;ylempi korkeakoulututkinto;1978;suomi;suomi, englanti;female;3;0;1;0;2;2;1;3;0;2;0;0;2;2;2;1;0;1;1;3;0;1;1;3;2
Jenni Ikola-mäki;Vihreä liitto;Jyväskylä;ylempi korkeakoulututkinto;1978;suomi;ruotsi, englanti;female;3;2;1;2;1;1;2;2;2;0;3;1;3;2;1;1;0;2;2;2;3;1;1;1;2
Jenni Ingo;Suomen ruotsalainen kansanpuolue;Mustasaari;ylempi korkeakoulututkinto;1989;ruotsi;suomi, ruotsi, englanti;female;2;2;2;1;2;1;3;3;3;0;3;3;3;2;0;1;2;1;3;3;1;0;2;1;2
Jenni Jalonen;Suomen Keskusta;Pori;alempi korkeakoulututkinto;1977;suomi;ruotsi, englanti;female;3;3;1;3;1;2;1;3;2;0;2;1;3;3;0;2;0;1;2;3;1;2;0;2;2
Jenni Jokinen;Suomen Sosialidemokraattinen Puolue;Sastamala;alempi korkeakoulututkinto;1983;suomi;suomi, ruotsi, englanti;female;3;3;0;0;2;1;2;2;3;0;3;3;3;3;2;0;0;3;3;3;1;1;0;2;2
Jenni Jäntti;Vasemmistoliitto;Turku;ylempi korkeakoulututkinto;1994;suomi;suomi, ruotsi, englanti;female;3;3;0;1;3;1;0;3;3;0;3;2;3;3;2;1;2;3;3;3;3;0;0;3;3
Jenni Kangasmäki;Sitoutumaton;Tuusula;ammattitutkinto;1995;suomi;;female;2;1;1;3;1;2;1;3;1;0;3;2;3;2;0;2;0;2;3;2;0;0;1;1;2
Jenni Karemo;Kansallinen Kokoomus;Vantaa;ylempi korkeakoulututkinto;1979;suomi;suomi, ruotsi, englanti;female;1;1;2;2;1;2;3;3;0;1;1;1;3;2;1;2;2;2;2;2;1;2;2;2;2
Jenni Kiiskinen;Kansallinen Kokoomus;Kontiolahti;ylempi korkeakoulututkinto;1987;suomi;suomi, ruotsi, englanti, venäjä;female;2;1;2;3;1;1;2;2;3;0;3;0;3;3;2;2;2;1;2;2;0;0;1;1;2
Jenni Kiiskinen;Vihreä liitto;Ylöjärvi;ylempi korkeakoulututkinto;1981;suomi;suomi, ruotsi, englanti, ranska, espanja, italia;female;3;2;1;3;1;3;3;2;3;0;3;1;2;3;0;1;0;3;3;2;3;2;0;2;3
Jenni Koski;Vihreä liitto;Espoo;ylempi korkeakoulututkinto;1975;suomi;suomi, ruotsi, englanti, ranska;female;1;2;1;0;1;2;2;2;3;0;3;2;3;2;2;1;1;3;3;3;2;2;0;2;3
Jenni Kuisti;Vihreä liitto;Alajärvi;ylempi korkeakoulututkinto;1985;suomi;ruotsi, englanti;female;2;3;0;3;3;2;2;2;2;0;3;1;2;3;1;1;0;2;3;3;2;1;1;3;2
Jenni Kurki;Vasemmistoliitto;Kemi;ammattitutkinto;1987;suomi;suomi, ruotsi, englanti;female;1;3;0;1;2;2;1;3;2;0;2;1;1;3;1;1;0;1;2;3;3;0;0;1;2
Jenni Lahti-laurila;Vihreä liitto;Tampere;alempi korkeakoulututkinto;1984;suomi;;female;3;3;1;1;2;1;2;3;3;0;3;2;3;3;1;1;0;3;3;3;2;2;0;3;3
Jenni Lainekivi;Vihreä liitto;Vantaa;alempi korkeakoulututkinto;1986;suomi;suomi, englanti;female;3;3;1;1;2;1;2;3;3;0;3;2;3;3;1;1;0;2;3;3;2;0;0;2;2
Jenni Laurila;Vihreä liitto;Pori;ylempi korkeakoulututkinto;1984;suomi;suomi;female;3;3;1;1;0;1;1;3;2;0;3;2;3;3;1;0;1;2;3;3;2;0;0;2;3
Jenni Lindfors;Suomen Sosialidemokraattinen Puolue;Pori;ylempi korkeakoulututkinto;1990;suomi;englanti, saksa;female;3;2;1;1;2;1;2;2;2;0;2;2;3;2;1;1;1;2;3;3;2;0;1;1;2
Jenni Majasuo;Suomen Sosialidemokraattinen Puolue;Masku;ammattitutkinto;1984;suomi;;female;3;2;1;0;0;1;1;3;2;0;2;1;3;3;0;0;0;3;2;3;1;0;0;2;2
Jenni Maria Kauppinen;Vasemmistoliitto;Lieto;alempi korkeakoulututkinto;1986;suomi;ruotsi, englanti, saksa;female;2;3;1;1;2;2;2;3;2;0;2;2;2;3;1;1;1;3;1;2;3;1;0;2;2
Jenni Norrena;Vasemmistoliitto;Vantaa;alempi korkeakoulututkinto;1989;suomi;suomi, ruotsi, englanti, espanja, viro;female;3;3;0;3;2;2;1;2;3;0;3;3;3;3;1;1;0;3;3;3;3;1;0;3;3
Jenni Nurmi;Suomen Sosialidemokraattinen Puolue;Nurmijärvi;ylempi korkeakoulututkinto;1986;suomi;suomi, englanti;female;2;2;0;3;1;0;2;0;2;0;3;3;3;3;1;2;0;2;3;2;2;1;0;3;3
Jenni Peltola;Suomen Keskusta;Kankaanpää;ylempi korkeakoulututkinto;1984;suomi;suomi, ruotsi, englanti;female;2;2;2;3;2;2;0;3;1;0;3;0;3;2;3;1;1;2;2;2;1;1;0;1;1
Jenni Puhto;Vasemmistoliitto;Jyväskylä;ylempi korkeakoulututkinto;1992;suomi;suomi, englanti;female;2;2;0;3;2;2;2;2;3;0;3;1;3;3;1;1;1;3;3;3;3;1;1;2;3
Jenni Puoliväli;Suomen Keskusta;Seinäjoki;ylempi korkeakoulututkinto;1990;suomi;suomi, ruotsi, englanti;female;3;2;2;3;3;1;1;3;2;0;3;1;3;1;0;1;2;3;3;2;1;0;0;2;1
Jenni Rantala;Suomen Keskusta;Nokia;alempi korkeakoulututkinto;1981;suomi;suomi;female;3;1;1;1;1;2;1;3;2;2;1;1;3;3;1;1;1;2;3;3;1;1;0;2;2
Jenni Rauhaniemi;Kansallinen Kokoomus;Tammela;alempi korkeakoulututkinto;1981;suomi;suomi;female;1;2;2;2;1;2;1;2;1;0;2;1;3;2;1;2;1;2;2;3;0;1;1;2;2
Jenni Rautio;Kansallinen Kokoomus;Rautjärvi;ylempi korkeakoulututkinto;1980;suomi;suomi, ruotsi, englanti, saksa;female;2;2;2;2;1;2;2;2;1;1;1;1;2;2;2;1;0;2;2;3;1;2;1;2;1
Jenni Roppo;Sitoutumaton;Mikkeli;ylioppilas;1998;suomi;ruotsi, englanti, espanja;female;3;3;1;0;2;2;3;3;3;1;2;2;3;1;0;1;0;1;3;3;0;1;0;2;3
Jenni Siirilä;Mustasaaren Suomenkielisten kunnallisjärjestö ryn yhteislista;Vaasa;alempi korkeakoulututkinto;1984;suomi;ruotsi, englanti;female;2;2;0;3;2;0;2;2;1;0;2;0;2;2;1;2;2;2;2;1;1;1;0;3;2
Jenni Suutari;Vasemmistoliitto;Jyväskylä;ylioppilas;1999;suomi;suomi, ruotsi, englanti;female;3;3;0;1;1;2;1;3;3;0;3;2;3;3;1;0;1;3;3;2;3;1;0;3;3
Jenni Talosaari;Suomen Keskusta;Rauma;ammattitutkinto;1988;suomi;suomi, ruotsi, englanti;female;2;2;2;0;1;2;2;3;1;0;2;2;2;3;2;2;0;1;2;3;1;0;0;1;2
Jenni Tervo;Vasemmistoliitto;Joensuu;alempi korkeakoulututkinto;1984;suomi;suomi, ruotsi, englanti;female;3;3;1;2;0;2;2;2;2;0;3;1;3;3;0;1;1;2;3;3;2;1;0;2;3
Jenni Vaattovaara;Vihreä liitto;Kuopio;ylempi korkeakoulututkinto;1982;suomi;suomi, ruotsi, englanti, espanja;female;2;3;2;3;1;2;3;3;3;0;3;1;2;3;1;1;2;2;3;3;2;2;1;2;3
Jenni Viherkanto;Suomen Sosialidemokraattinen Puolue;Vihti;ammattitutkinto;1976;suomi;suomi, englanti;female;3;2;1;0;0;1;1;3;3;0;3;3;3;3;0;0;0;0;3;3;2;0;0;2;2
Jennica Kainulainen;Suomen Sosialidemokraattinen Puolue;Forssa;alempi korkeakoulututkinto;1976;suomi;suomi, ruotsi, englanti;female;3;3;2;1;1;2;2;3;2;0;3;0;3;3;0;1;0;2;3;2;2;0;0;1;1
Jennifer Keskimäki;Vihreä liitto;Pori;ammattitutkinto;2004;suomi;suomi, englanti;female;3;2;2;0;1;3;0;3;3;0;3;2;3;3;0;1;0;3;3;2;3;1;1;2;1
Jenny Keilonen;Vasemmistoliitto;Kuopio;alempi korkeakoulututkinto;1987;suomi;suomi, ruotsi, englanti;female;3;2;0;1;2;2;2;2;3;0;3;2;2;3;1;1;1;3;3;2;2;0;0;3;3
Jenny Liuksiala;Suomen Kristillisdemokraatit (KD);Lahti;ylempi korkeakoulututkinto;1978;suomi;suomi, ruotsi, englanti, saksa, ranska, espanja;female;2;1;2;1;2;1;2;2;2;0;2;1;3;2;1;2;1;2;2;2;1;1;1;2;1
Jenny Riivali;Vasemmistoliitto;Jyväskylä;ylempi korkeakoulututkinto;1993;suomi;suomi, englanti;female;3;3;0;1;1;2;3;2;3;0;3;1;3;3;1;1;1;3;3;2;3;1;0;3;3
Jenny Vilkman;Suomen Keskusta;Pornainen;alempi korkeakoulututkinto;1994;suomi;suomi, englanti;female;3;2;1;2;1;2;1;3;1;2;1;2;3;2;2;1;0;3;3;3;1;0;1;2;1
Jens Antus;Suomen ruotsalainen kansanpuolue;Vöyri;ylioppilas;1991;ruotsi;suomi, ruotsi, englanti;male;2;1;1;0;1;1;3;2;1;0;1;2;2;2;2;1;1;3;1;2;2;2;0;1;1
