Name;Party;Municipality;Education;Year of birth;Language;Language skills;Gender;My municipality should set a maximum size for elementary school teaching groups.;It is justifiable to close down small schools to cut costs.;In my municipality, pupils should have the opportunity to study Swedish in Finnish-speaking schools before the sixth grade in elementary schools.;My municipality should financially support the home care of children under the age of 3.;My municipality should attract residents with a baby allowance.;Schools and kindergartens should serve less meat.;Schools should maintain Christian traditions.;If the municipality's income and expenses must be balanced, it should be done by cutting expenses rather than raising taxes.;Capital gains should not be subject to municipal taxation.;The municipality should primarily buy services from companies that it owns.;Municipalities should help to finance regional flights.;Remote support in looking for jobs is sufficient for unemployed people in small towns.;If necessary, the municipality should expropriate private land in order to obtain land for construction.;My municipality should avoid clear-cutting in the forest areas it owns.;The municipality should prioritise construction over preserving the local nature.;My municipality should attract more industrial jobs, even if it harms the environment.;My municipality must strive to achieve carbon neutrality before Finland's national target year of 2035.;Even sparsely populated areas of my municipality should have access to public transport to reach services.;Immigrants strengthen the vitality of my municipality.;My municipality must refuse to accept quota refugees.;My municipality should finance events that encourage interaction between different cultures.;My municipality should reduce spending on immigrant integration services.;Municipalities should compensate for the state cuts in theatre funding.;Libraries should be self-service so that my municipality can save on staff salary costs.;My municipality should show support for gender and sexual minorities by flying a Pride flag.
Petteri Skovbjerg;Kansallinen Kokoomus;Kaarina;alempi korkeakoulututkinto;1982;suomi;suomi, ruotsi, englanti;male;1;2;3;1;0;0;2;3;1;0;0;3;1;1;2;2;1;1;2;1;1;2;0;1;0
Henrik Solin;Suomen ruotsalainen kansanpuolue;Kaarina;alempi korkeakoulututkinto;1952;ruotsi;suomi, ruotsi, englanti, saksa;male;1;2;3;1;0;2;1;2;3;0;1;0;0;1;1;0;1;2;3;0;2;0;1;1;1
Ulf Sourander;Suomen ruotsalainen kansanpuolue;Kaarina;ylempi korkeakoulututkinto;1949;ruotsi;ruotsi, englanti, saksa;male;2;2;2;2;1;1;2;2;2;2;1;1;1;1;2;2;2;2;2;0;2;1;1;1;2
Jarno Sula;Perussuomalaiset;Kaarina;ylioppilas;1982;suomi;suomi, ruotsi, englanti, saksa, espanja;male;3;1;3;0;0;0;3;2;3;3;0;3;2;3;2;2;0;1;0;3;0;3;2;2;0
Otto Tammi;Kansallinen Kokoomus;Kaarina;ylioppilas;2004;suomi;suomi, ruotsi, englanti, saksa, espanja;male;2;1;3;1;0;1;2;3;2;1;1;0;0;3;1;1;1;2;2;0;2;1;2;0;2
Mussie Tewelde;Suomen Sosialidemokraattinen Puolue;Kaarina;ammattitutkinto;1986;jokin muu;suomi, englanti, joku muu, arabia;male;2;2;3;3;2;0;3;2;2;3;0;3;0;2;0;1;2;3;3;0;3;0;3;0;0
Ilkka Tillanen;Vasemmistoliitto;Kaarina;ammattitutkinto;1981;suomi;suomi, englanti;male;3;0;3;2;3;3;1;1;0;2;0;0;1;3;0;0;3;3;3;0;3;0;3;0;3
Vesa Tirri;Perussuomalaiset;Kaarina;joku muu;1939;suomi;suomi, englanti;male;3;2;1;2;1;0;3;2;3;0;2;1;1;2;2;1;0;2;1;1;1;2;1;0;0
Kasper Toivonen;Suomen ruotsalainen kansanpuolue;Kaarina;peruskoulu;2007;ruotsi;suomi, ruotsi, englanti, saksa;male;1;2;3;1;0;2;2;2;3;1;0;0;0;2;1;0;0;3;3;0;3;0;1;0;1
Toni Toivonen;Suomen Kristillisdemokraatit (KD);Kaarina;ylempi korkeakoulututkinto;1966;suomi;suomi, ruotsi, englanti, saksa, espanja;male;2;1;3;2;1;0;2;2;2;1;1;2;1;3;1;0;1;3;2;1;2;2;1;2;0
Jari Tulonen;Suomen Kristillisdemokraatit (KD);Kaarina;alempi korkeakoulututkinto;1964;suomi;suomi, ruotsi, englanti;male;1;2;2;3;1;0;3;1;1;3;2;0;2;2;1;2;1;2;1;2;0;2;1;0;0
Matti Uimonen;Kansallinen Kokoomus;Kaarina;alempi korkeakoulututkinto;1978;suomi;suomi, ruotsi, englanti;male;2;2;2;2;1;1;3;2;2;2;2;2;2;3;1;1;1;2;2;1;2;1;2;2;1
Anton Vaaranmaa;Vihreä liitto;Kaarina;ammattitutkinto;1972;ruotsi;suomi, ruotsi, englanti, saksa;male;3;1;3;1;0;1;0;1;2;2;0;0;0;3;0;1;3;2;2;0;2;0;2;1;2
Anders Vahtola;Suomen ruotsalainen kansanpuolue;Kaarina;ylempi korkeakoulututkinto;1977;ruotsi;suomi, ruotsi, englanti;male;3;3;3;3;0;0;2;1;1;3;3;3;3;0;0;2;1;2;3;0;3;1;1;2;2
Martti Vastamäki;Perussuomalaiset;Kaarina;ylempi korkeakoulututkinto;1943;suomi;suomi, ruotsi, englanti;male;1;2;2;2;1;1;3;2;1;1;2;1;2;2;1;1;0;2;2;0;3;0;2;1;0
Harri Vähä-Verkkomäki;Perussuomalaiset;Kaarina;ammattitutkinto;1972;suomi;suomi, englanti;male;3;2;3;3;1;0;0;3;3;3;0;2;1;2;0;2;0;2;1;2;0;3;1;0;0
Iina Näyskä;Kansallinen Kokoomus;Kaarina;alempi korkeakoulututkinto;1984;suomi;suomi, englanti;;2;2;2;1;1;1;2;2;3;3;2;1;1;1;1;1;1;2;2;1;2;1;2;2;2
Minna Ainali;Suomen Keskusta;Kalajoki;ammattitutkinto;1974;suomi;suomi, englanti;female;2;1;1;2;1;1;2;1;2;2;1;1;1;1;1;1;1;2;2;1;2;1;2;1;1
Sirpa Heiska;Suomen Sosialidemokraattinen Puolue;Kalajoki;ammattitutkinto;1959;suomi;suomi;female;3;1;3;2;2;1;1;0;0;2;2;0;1;3;1;1;1;3;3;0;3;0;2;0;3
Piia Härkönen;Suomen Sosialidemokraattinen Puolue;Kalajoki;alempi korkeakoulututkinto;1973;suomi;suomi;female;3;1;1;3;3;0;2;2;3;2;1;2;1;2;0;0;2;3;3;0;3;0;0;0;3
Heli Kallioinen;Suomen Keskusta;Kalajoki;alempi korkeakoulututkinto;1987;suomi;suomi, ruotsi, englanti;female;2;1;2;2;2;1;2;2;1;2;1;1;1;1;1;1;1;3;2;1;2;1;1;1;2
