Name,Party,Municipality,Education,Year of birth,Language,Gender,My municipality should set a maximum size for elementary school teaching groups,It is justifiable to close down small schools to cut costs,In my municipality pupils should have the opportunity to study Swedish in Finnish-speaking schools before the sixth grade in elementary schools,My municipality should financially support the home care of children under the age of 3,My municipality should attract residents with a baby allowance,Schools and kindergartens should serve less meat,Schools should maintain Christian traditions,If the municipality's income and expenses must be balanced it should be done by cutting expenses rather than raising taxes,Capital gains should not be subject to municipal taxation,The municipality should primarily buy services from companies that it owns,Municipalities should help to finance regional flights,Remote support in looking for jobs is sufficient for unemployed people in small towns,If necessary the municipality should expropriate private land in order to obtain land for construction,My municipality should avoid clear-cutting in the forest areas it owns,The municipality should prioritise construction over preserving the local nature,My municipality should attract more industrial jobs even if it harms the environment,My municipality must strive to achieve carbon neutrality before Finland's national target year of 2035,Even sparsely populated areas of my municipality should have access to public transport to reach services,Immigrants strengthen the vitality of my municipality,My municipality must refuse to accept quota refugees,My municipality should finance events that encourage interaction between different cultures,My municipality should reduce spending on immigrant integration services,Municipalities should compensate for the state cuts in theatre funding,Libraries should be self-service so that my municipality can save on staff salary costs,My municipality should show support for gender and sexual minorities by flying a Pride flag
Jenna Jäske,Vihr.,Seinäjoki,ammattitutkinto,1984,suomi,female,3,3,3,3,3,3,2,0,2,3,0,3,0,3,0,0,0,0,3,0,3,0,1,0,3
Sanni Kanerva-perälä,SDP,Seinäjoki,alempi korkeakoulututkinto,1986,suomi,female,3,1,2,2,1,2,1,2,1,2,1,1,1,1,1,2,1,2,2,1,2,1,1,1,2
Piia Kattelus-Kilpeläinen,KD,Seinäjoki,ylempi korkeakoulututkinto,1974,suomi,female,2,0,3,3,2,0,3,3,2,0,2,0,0,0,3,3,0,3,1,3,0,2,2,3,0
Tuulia Keltto,Kok.,Seinäjoki,ylempi korkeakoulututkinto,1980,suomi,female,2,1,2,1,1,1,1,2,2,1,2,3,1,3,1,1,1,1,2,1,2,1,2,2,1
Johanna Keski-jyrä,Kok.,Seinäjoki,ylempi korkeakoulututkinto,1971,suomi,female,2,2,2,1,1,2,2,2,1,2,2,2,1,2,1,1,2,2,3,1,2,0,2,2,2
Helli Kitinoja,Kesk.,Seinäjoki,ylempi korkeakoulututkinto,1956,suomi,female,2,2,2,2,1,1,3,2,2,1,2,1,1,2,1,1,0,2,2,1,2,1,2,1,1
Laura Kivimäki,Vihr.,Seinäjoki,ylempi korkeakoulututkinto,1977,suomi,female,3,3,3,3,0,3,1,0,1,3,0,1,2,3,0,0,3,3,3,0,3,0,2,0,3
Riina Knuts,Sit,Seinäjoki,alempi korkeakoulututkinto,1970,suomi,female,3,3,0,3,3,0,1,2,2,3,0,2,0,0,1,0,0,3,0,3,1,3,0,0,0
Siiri Kontteli,Kok.,Seinäjoki,alempi korkeakoulututkinto,1998,suomi,female,2,2,3,2,0,1,2,3,3,1,2,2,2,1,1,2,1,1,3,1,2,0,1,2,2
Marja-liisa Korpela,PS,Seinäjoki,alempi korkeakoulututkinto,1984,suomi,female,2,2,2,2,2,0,3,3,2,3,1,1,0,2,1,3,0,2,1,2,1,2,0,1,0
Ellen Koskela,Vihr.,Seinäjoki,alempi korkeakoulututkinto,1987,suomi,female,3,1,3,2,1,3,0,1,1,2,1,1,1,3,0,0,3,3,3,0,2,0,2,1,3
Wilhelmiina Kukkamo,Kok.,Seinäjoki,ylempi korkeakoulututkinto,1981,suomi,female,2,2,2,1,1,0,3,2,1,1,2,1,2,1,2,1,2,3,2,1,2,1,1,1,1
Pauliina Kukkonen,KD,Seinäjoki,ammattitutkinto,1990,suomi,female,3,1,3,3,0,0,2,2,2,1,0,2,0,2,0,1,0,2,2,0,3,1,1,0,0
Leena Kurikka,PS,Seinäjoki,alempi korkeakoulututkinto,1961,suomi,female,1,1,1,2,1,0,3,2,2,1,2,0,0,1,1,1,0,2,2,1,1,2,2,1,1
Kirsi Laakso,SDP,Seinäjoki,ylempi korkeakoulututkinto,1978,suomi,female,3,2,3,3,3,1,2,3,0,3,0,0,0,0,1,1,1,3,3,0,2,1,2,3,3
Heli Lahti,Vihr.,Seinäjoki,ylempi korkeakoulututkinto,1990,suomi,female,3,2,1,0,1,2,1,2,1,1,0,1,1,3,1,1,3,3,3,0,3,0,2,0,3
Anni Lampinen,Kesk.,Seinäjoki,ammattitutkinto,1995,suomi,female,3,0,2,3,2,0,2,2,2,2,1,1,0,3,0,0,1,2,0,3,3,2,3,0,0
Kati Lampinen,SDP,Seinäjoki,ammattitutkinto,1980,suomi,female,3,2,2,3,2,0,3,2,2,2,1,0,2,2,3,1,0,2,1,3,1,1,1,2,0
Annukka Latvala,KD,Seinäjoki,ylempi korkeakoulututkinto,1959,suomi,female,3,1,1,3,2,1,3,2,2,3,2,1,1,2,1,1,1,3,2,1,2,1,2,2,0
Johanna Latvala,Sit,Seinäjoki,ammattitutkinto,1980,suomi,female,3,0,0,3,3,0,3,2,2,1,2,0,0,0,0,0,0,3,0,3,1,2,0,2,0
Alina Lehto,Kesk.,Seinäjoki,alempi korkeakoulututkinto,1989,suomi,female,2,2,2,2,1,0,3,2,2,1,1,1,1,1,1,0,2,2,2,1,2,1,1,2,2
Nina Leppänen,Vihr.,Seinäjoki,ammattitutkinto,1998,suomi,female,3,1,2,3,1,1,1,2,2,1,2,3,1,2,2,1,2,3,2,0,3,1,2,1,3
Minna Lounatvuori,Kok.,Seinäjoki,ylempi korkeakoulututkinto,1974,suomi,female,2,2,2,2,2,1,2,2,2,2,2,1,2,1,1,1,1,3,2,1,2,1,2,1,3
Lotta Luodeslampi,Kok.,Seinäjoki,ylioppilas,2003,suomi,female,0,2,2,0,0,0,2,3,3,0,1,2,0,0,1,2,1,1,3,1,1,2,0,2,3
Marja Lähdesmäki,Kok.,Seinäjoki,ylempi korkeakoulututkinto,1954,suomi,female,3,1,2,2,1,1,2,2,1,0,2,1,1,2,1,1,1,2,2,1,2,1,1,1,1
Henna Malila,Kesk.,Seinäjoki,ylempi korkeakoulututkinto,1972,suomi,female,2,2,3,2,1,1,2,2,1,2,2,1,1,2,2,2,1,2,3,1,2,1,1,2,1
Anneli Manninen,Kok.,Seinäjoki,ylempi korkeakoulututkinto,1953,suomi,female,2,1,0,1,0,0,3,3,3,0,1,0,2,0,0,0,0,2,3,0,2,0,0,0,0
Maarit Markkanen,Kesk.,Seinäjoki,alempi korkeakoulututkinto,1973,suomi,female,3,2,0,2,1,0,2,1,2,2,1,0,1,3,2,0,2,2,2,2,1,2,3,0,1
Kirsi Martikkala,Kesk.,Seinäjoki,ammattitutkinto,1977,suomi,female,3,1,2,2,0,0,3,1,2,2,0,1,1,2,0,1,1,2,2,0,0,2,2,0,1
Emilia Melender,Kesk.,Seinäjoki,ylioppilas,2003,suomi,female,3,1,3,2,2,1,2,2,3,3,0,2,1,3,3,0,2,1,2,1,3,0,2,2,3
Ritva Melender,Kesk.,Seinäjoki,ammattitutkinto,1960,suomi,female,2,1,1,2,1,1,3,1,1,2,1,1,1,1,1,1,2,2,2,1,2,1,1,2,1
Heli Myllymäki,Kok.,Seinäjoki,alempi korkeakoulututkinto,1974,suomi,female,3,1,1,2,0,0,3,2,2,1,0,2,2,2,1,2,0,2,2,2,2,1,1,2,1
Mervi Mäenpää,Kesk.,Seinäjoki,alempi korkeakoulututkinto,1973,suomi,female,2,2,3,3,1,0,3,2,2,3,1,1,1,1,1,1,1,2,3,1,2,0,1,2,2
Sirkka Mäkelä,SDP,Seinäjoki,ylempi korkeakoulututkinto,1975,suomi,female,2,2,2,1,1,1,2,1,1,2,0,1,2,2,1,1,2,3,2,1,3,0,3,2,1
Anne-mari Mäki-valkama,SDP,Seinäjoki,alempi korkeakoulututkinto,1976,suomi,female,3,1,3,3,1,1,2,1,3,3,0,2,0,3,0,1,1,1,2,0,2,0,1,0,2
Mirja Niemi,SDP,Seinäjoki,alempi korkeakoulututkinto,1968,suomi,female,3,0,3,3,3,1,2,0,0,3,0,3,1,3,1,0,3,3,2,0,3,0,3,0,2
Kati Nummensalo,KD,Seinäjoki,ylempi korkeakoulututkinto,1972,suomi,female,3,2,3,3,1,0,3,2,0,3,2,0,2,1,2,2,1,1,2,1,2,1,1,1,0
Kati Ojaniemi,Kesk.,Seinäjoki,ylempi korkeakoulututkinto,1973,suomi,female,3,1,2,3,1,0,3,3,3,2,1,1,0,2,1,1,2,2,2,1,2,1,1,2,2
Veera Ollikainen,Kok.,Seinäjoki,ylioppilas,1992,suomi,female,2,2,3,2,1,1,2,3,3,1,0,1,1,1,2,2,2,2,3,1,2,0,2,2,0
Sari Palomäki,Kesk.,Seinäjoki,alempi korkeakoulututkinto,1976,suomi,female,3,1,2,2,0,0,2,2,2,1,0,0,1,2,1,0,1,3,2,1,1,1,1,2,1
Jenni Perttilä,Kok.,Seinäjoki,ylempi korkeakoulututkinto,1987,suomi,female,3,2,2,1,1,1,2,3,1,3,1,1,1,2,1,1,2,3,2,1,2,0,2,1,2
Anni Pihlaja-kuhna,Kok.,Seinäjoki,ylempi korkeakoulututkinto,1985,suomi,female,3,1,2,2,0,0,1,2,2,2,2,1,1,1,1,1,0,2,2,1,1,1,2,1,2
Hanne Prusti,Kesk.,Seinäjoki,ylempi korkeakoulututkinto,1967,suomi,female,3,2,2,2,0,3,2,2,1,3,1,3,0,1,0,0,0,1,2,1,2,0,1,2,1
Jaana Raumanni,Kok.,Seinäjoki,alempi korkeakoulututkinto,1986,suomi,female,2,2,2,2,1,2,2,3,2,0,1,2,1,2,1,2,1,2,2,1,2,1,2,2,2
Johanna Rautiainen,Vihr.,Seinäjoki,ylempi korkeakoulututkinto,1979,suomi,female,3,0,3,2,1,3,0,1,0,2,0,1,1,3,0,0,3,3,3,0,3,0,1,0,3
Mira Rinne,SDP,Seinäjoki,ylioppilas,1990,suomi,female,3,1,3,2,2,2,0,1,1,2,2,0,3,3,0,0,2,3,3,0,3,0,3,2,3
Paula Risikko,Kok.,Seinäjoki,ylempi korkeakoulututkinto,1960,suomi,female,2,0,2,2,1,0,3,3,3,0,2,0,1,2,2,2,0,2,2,0,2,1,1,0,1
Hanna-leena Saarela,SDP,Seinäjoki,alempi korkeakoulututkinto,1959,suomi,female,3,3,2,1,1,0,2,0,1,0,1,0,2,1,2,2,2,3,3,0,2,0,2,0,3
Tuija Saarimäki,Kesk.,Seinäjoki,ylempi korkeakoulututkinto,1985,suomi,female,3,1,2,2,1,0,2,2,2,2,1,1,1,1,1,2,1,3,2,1,2,1,2,1,2
Hilkka Salmela,Vihr.,Seinäjoki,ylempi korkeakoulututkinto,1960,suomi,female,3,1,1,3,2,2,0,1,1,3,1,1,1,2,1,1,1,3,2,0,2,0,1,2,3
Heidi Saukko,Kok.,Seinäjoki,alempi korkeakoulututkinto,1970,suomi,female,2,2,3,1,0,1,0,3,1,1,1,3,1,1,1,2,1,1,2,1,1,1,2,2,1
Maarit Siik,Kok.,Seinäjoki,alempi korkeakoulututkinto,1962,suomi,female,2,2,2,2,1,1,2,2,2,0,2,1,1,2,1,2,1,1,2,1,2,1,2,1,2
Pauliina Suvisalmi,Kok.,Seinäjoki,ylempi korkeakoulututkinto,1975,suomi,female,3,2,2,2,2,1,3,3,2,3,2,3,2,2,0,1,2,2,2,1,2,1,2,2,2
Sirpa Syrjälä,SDP,Seinäjoki,ylempi korkeakoulututkinto,1960,suomi,female,3,2,1,3,2,2,1,2,2,2,1,2,2,2,1,1,2,2,2,0,1,1,1,1,2
Taru Särkelä,SDP,Seinäjoki,ammattitutkinto,1971,suomi,female,3,1,1,3,1,0,3,3,1,1,3,1,0,3,0,0,0,3,0,3,1,3,0,0,0
Viveca Särkelä,KD,Seinäjoki,alempi korkeakoulututkinto,1967,ruotsi,female,3,1,2,2,2,1,3,3,2,1,1,1,1,3,0,0,2,3,2,1,2,0,1,1,0
Anne Tarpio,Kok.,Seinäjoki,ylempi korkeakoulututkinto,1979,suomi,female,3,2,2,3,3,0,1,2,3,1,2,1,2,2,1,2,1,2,2,0,2,0,1,1,3
Sanna Tauriainen,SDP,Seinäjoki,alempi korkeakoulututkinto,1979,suomi,female,3,1,3,2,1,1,2,0,1,1,2,1,2,3,1,1,1,2,2,1,3,1,2,1,3
Tellervo Tulisalo,SDP,Seinäjoki,ylempi korkeakoulututkinto,1978,suomi,female,3,2,1,3,2,1,2,1,1,2,0,1,1,3,1,1,0,3,3,1,2,0,2,2,2
Irene Turenius,Kesk.,Seinäjoki,ylempi korkeakoulututkinto,1976,suomi,female,2,2,3,1,0,2,0,2,1,1,0,1,2,2,0,0,2,3,2,0,2,0,1,1,3
Brigantia Törnqvist,Vihr.,Seinäjoki,ylempi korkeakoulututkinto,1974,suomi,female,3,0,3,3,1,3,0,1,1,2,0,0,1,3,0,0,3,2,3,0,3,0,3,0,3
Taina Törvi,Kok.,Seinäjoki,alempi korkeakoulututkinto,1974,suomi,female,2,2,3,3,2,0,3,2,2,1,0,2,3,0,2,3,0,0,3,1,2,2,1,0,0
Joanna Uusitalo-silver,SDP,Seinäjoki,alempi korkeakoulututkinto,1978,suomi,female,2,2,1,1,1,1,2,2,2,3,1,0,2,1,2,1,1,1,3,1,3,0,1,2,3
Teija Vuolle,Vas.,Seinäjoki,alempi korkeakoulututkinto,1987,suomi,female,2,1,3,1,1,3,0,1,0,2,1,1,1,2,1,1,2,2,2,0,2,0,2,0,3
Sanna Väyrynen,Sit,Seinäjoki,ammattitutkinto,1978,suomi,female,3,2,1,2,1,2,3,2,1,3,0,2,0,3,1,2,1,2,2,0,1,1,1,1,0
Tiia Wallin,Kok.,Seinäjoki,alempi korkeakoulututkinto,1984,suomi,female,3,1,2,2,1,1,2,2,1,1,2,0,2,2,1,2,1,1,3,1,1,1,2,1,3
Louna Yli-Hemminki,Kesk.,Seinäjoki,ylioppilas,2004,suomi,female,3,1,2,2,1,2,1,1,2,2,1,1,1,2,1,2,2,2,3,0,2,0,2,1,3
Milla Ylinen,Vihr.,Seinäjoki,ammattitutkinto,1976,suomi,female,3,2,3,2,1,3,0,1,3,3,0,3,1,2,1,1,0,1,3,0,2,0,1,1,3
Satu Ylisiurua-hemminki,Kok.,Seinäjoki,ylempi korkeakoulututkinto,1975,suomi,female,3,1,1,3,1,1,2,2,3,1,2,0,0,2,0,2,0,1,2,1,1,1,1,0,3
Heidi Åkerman,Vihr.,Seinäjoki,ylempi korkeakoulututkinto,1982,suomi,female,3,2,1,2,1,2,2,1,2,2,0,1,2,3,0,1,2,3,2,0,2,0,1,2,3
Jukka Ahlgren,PS,Seinäjoki,alempi korkeakoulututkinto,1966,suomi,male,3,0,0,2,2,0,3,2,1,3,1,2,1,2,1,1,0,3,0,3,1,2,1,0,0
Jouni Aila,Kok.,Seinäjoki,alempi korkeakoulututkinto,1974,suomi,male,3,1,2,2,2,0,3,2,2,1,1,0,1,0,1,1,0,2,2,1,1,1,1,1,0
Matti Aintila,Vas.,Seinäjoki,ammattitutkinto,1978,suomi,male,3,1,2,2,2,2,2,1,1,3,1,1,1,3,1,2,2,2,3,0,3,0,2,0,3
Kai Ala-heikkilä,Kok.,Seinäjoki,alempi korkeakoulututkinto,1960,suomi,male,2,3,2,2,0,0,1,3,1,1,2,0,1,0,0,2,3,0,3,1,0,0,1,0,3
Jorma Ala-sankila,Kok.,Seinäjoki,ylempi korkeakoulututkinto,1956,suomi,male,3,1,2,2,2,1,2,2,2,1,2,1,2,3,1,1,1,3,3,1,2,1,2,1,1
Ismo Anttila,Sit,Seinäjoki,ylempi korkeakoulututkinto,1971,suomi,male,0,3,3,0,0,0,3,3,3,3,0,3,0,0,0,3,0,0,0,0,0,3,0,0,0
Paul Fairchild,Kok.,Seinäjoki,alempi korkeakoulututkinto,1973,jokin muu,male,3,3,2,0,0,1,2,2,1,0,0,2,2,0,2,1,0,2,3,1,2,0,1,1,1
Kai Gerey,Liik.,Seinäjoki,ammattitutkinto,2005,suomi,male,2,2,0,2,2,0,1,1,2,2,3,2,1,1,2,1,1,3,3,0,2,1,1,2,0
Jami Haavisto,Vihr.,Seinäjoki,alempi korkeakoulututkinto,1998,suomi,male,3,2,3,1,1,3,1,1,2,2,0,2,1,2,0,1,3,3,3,0,2,0,2,1,3
Kimmo Heinonen,Kok.,Seinäjoki,ammattitutkinto,1977,suomi,male,2,2,1,1,1,0,2,3,3,1,2,1,2,1,0,2,1,2,1,2,1,1,1,2,1
Juho Heiska,Kesk.,Seinäjoki,ylempi korkeakoulututkinto,1992,suomi,male,2,1,0,2,2,1,3,3,3,2,1,2,1,1,1,3,2,0,2,1,0,2,0,3,1
Petri Hietala,PS,Seinäjoki,ammattitutkinto,1979,suomi,male,2,2,1,2,1,0,3,3,2,2,1,2,1,1,2,3,0,2,1,3,1,2,1,1,0
Ville Hietanen,Kok.,Seinäjoki,joku muu,1982,suomi,male,2,1,1,1,0,1,2,3,3,1,2,2,2,2,1,2,1,2,1,1,1,2,0,2,1
Kari Homi,Kesk.,Seinäjoki,ammattitutkinto,1959,suomi,male,3,1,3,3,0,0,3,3,1,3,3,3,0,0,0,2,2,3,3,0,2,0,0,0,2
Erkki Honkala,Kok.,Seinäjoki,ylempi korkeakoulututkinto,1952,suomi,male,2,2,3,1,0,0,3,3,3,3,0,0,2,1,1,2,0,2,2,1,2,1,1,1,1
Taavi Horila,Vihr.,Seinäjoki,ylempi korkeakoulututkinto,1974,suomi,male,3,2,2,1,0,3,0,1,1,2,0,1,1,3,0,0,3,3,3,0,3,0,1,1,3
Ilkka Hyvönen,PS,Seinäjoki,alempi korkeakoulututkinto,1958,suomi,male,1,1,1,3,2,0,2,3,2,1,0,1,1,2,2,1,0,1,0,2,0,3,0,0,0
Petri Hämäläinen,PS,Seinäjoki,ammattitutkinto,1974,suomi,male,2,1,2,1,0,0,1,2,1,2,1,1,1,1,1,1,0,1,0,3,0,2,0,1,0
Simo Höykinpuro,PS,Seinäjoki,ammattitutkinto,1977,suomi,male,2,2,0,1,0,3,3,3,2,3,1,2,3,0,3,3,0,2,0,3,0,3,0,1,0
Risto Iskala,Kok.,Seinäjoki,joku muu,1974,suomi,male,2,2,1,2,1,0,3,2,3,0,2,1,1,0,1,1,0,1,2,1,1,1,1,1,0
Olli Isopahkala,Kesk.,Seinäjoki,ylempi korkeakoulututkinto,1977,suomi,male,2,2,2,3,2,0,3,3,2,2,1,2,2,1,1,2,0,2,2,1,1,2,1,2,0
Harri Jaskari,Kok.,Seinäjoki,alempi korkeakoulututkinto,1973,suomi,male,2,1,2,1,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,1,1
Tatu Jauhiainen,Vihr.,Seinäjoki,alempi korkeakoulututkinto,1967,suomi,male,3,2,2,3,0,2,0,0,0,1,1,0,0,3,0,0,3,3,3,0,3,0,0,0,3
Juha Julmala,Kesk.,Seinäjoki,ylioppilas,1996,suomi,male,3,0,2,3,1,0,2,2,2,2,1,0,0,1,1,2,1,3,2,1,2,1,1,2,1
Kari Järviö,Vas.,Seinäjoki,peruskoulu,1965,suomi,male,3,1,3,2,2,2,1,0,1,3,1,3,0,2,1,2,1,2,2,1,2,0,1,0,2
Pasi Järviö,Vas.,Seinäjoki,ammattitutkinto,1989,suomi,male,3,1,2,2,1,2,1,1,2,3,1,1,0,2,1,1,2,2,2,1,2,0,2,2,3
Kai Kaistila,Kok.,Seinäjoki,ammattitutkinto,1957,suomi,male,3,1,3,2,2,1,3,2,3,1,3,2,2,1,1,2,1,3,2,2,2,1,2,2,0
Karri Kallio,Kesk.,Seinäjoki,ylempi korkeakoulututkinto,1991,suomi,male,3,1,2,1,1,0,2,3,1,1,0,1,1,1,2,3,0,2,1,1,1,2,0,1,1
Jari Kankaanpää,Kok.,Seinäjoki,ylempi korkeakoulututkinto,1986,suomi,male,2,3,3,1,1,2,0,0,3,1,0,2,1,2,1,1,0,1,3,1,1,1,0,2,2
Johannes Karhu,Kesk.,Seinäjoki,ylempi korkeakoulututkinto,1992,suomi,male,2,1,0,2,2,0,3,3,3,1,1,1,0,0,0,1,0,3,1,1,0,2,0,2,0
Jani Karvonen,Kok.,Seinäjoki,alempi korkeakoulututkinto,1971,suomi,male,2,2,2,2,1,0,2,2,3,1,1,2,1,1,2,2,1,1,2,1,2,1,1,1,1
Ari Kekarainen,Kok.,Seinäjoki,alempi korkeakoulututkinto,1968,suomi,male,2,1,1,2,1,0,3,2,2,1,1,1,1,1,2,2,1,2,2,1,2,1,1,2,1
Antti Kesseli,Kesk.,Seinäjoki,alempi korkeakoulututkinto,1981,suomi,male,3,1,2,2,2,0,2,2,2,2,1,2,1,1,2,2,0,3,2,1,1,1,1,1,1
Juha Kitinoja,Kesk.,Seinäjoki,ammattitutkinto,1960,suomi,male,2,2,1,2,2,0,3,0,1,2,1,2,1,0,1,1,1,3,1,2,1,1,1,2,0
Jari Kivimäki,SDP,Seinäjoki,ammattitutkinto,1970,suomi,male,2,2,2,2,1,1,3,2,3,3,1,1,2,2,1,1,2,3,2,0,2,1,2,0,3
Pasi Kivisaari,Kesk.,Seinäjoki,ylempi korkeakoulututkinto,1971,suomi,male,3,2,2,1,1,1,2,2,2,1,2,1,2,1,1,2,2,1,2,1,2,1,1,2,2
Antti Knuuttila,Vas.,Seinäjoki,ylioppilas,1979,suomi,male,3,1,1,1,1,1,0,1,0,2,0,1,2,2,1,1,1,2,3,0,3,1,2,0,2
Pasi Koivula,KD,Seinäjoki,ylempi korkeakoulututkinto,1972,suomi,male,3,0,3,3,3,0,3,0,1,3,0,2,0,1,1,2,0,1,2,1,2,2,2,0,0
Juha Konttas,Kesk.,Seinäjoki,ammattitutkinto,1959,suomi,male,2,1,3,2,1,0,2,2,1,1,0,1,0,0,1,2,1,2,2,1,2,1,1,1,1
Pekka Koskela,Kok.,Seinäjoki,alempi korkeakoulututkinto,1982,suomi,male,1,2,3,2,1,1,2,2,2,1,2,2,1,1,2,2,0,1,2,1,2,1,1,1,2
Antti Kuhanen,Kok.,Seinäjoki,ylioppilas,1988,suomi,male,2,3,0,0,0,0,0,3,3,1,0,3,1,1,1,1,0,2,2,1,1,1,0,1,0
Pekka Kuivasmäki,SDP,Seinäjoki,alempi korkeakoulututkinto,1980,suomi,male,3,1,2,2,2,1,1,1,1,2,0,1,0,2,1,0,1,2,2,1,2,0,1,2,2
Juha Kuivinen,Kok.,Seinäjoki,alempi korkeakoulututkinto,1976,suomi,male,2,0,0,2,0,0,3,3,1,1,0,2,2,0,1,2,0,2,2,3,1,1,1,3,0
Mikko Kuivinen,Kesk.,Seinäjoki,alempi korkeakoulututkinto,1960,suomi,male,3,1,1,2,1,1,2,2,2,2,0,1,1,1,1,1,1,1,2,1,1,1,1,1,1
Esa-matti Köykkä,Kok.,Seinäjoki,ylempi korkeakoulututkinto,1991,suomi,male,2,2,2,1,1,1,2,3,3,1,1,2,1,2,2,2,2,2,2,2,1,1,1,2,1
Ilkka Latomäki,Kok.,Seinäjoki,ylempi korkeakoulututkinto,1986,suomi,male,1,2,3,2,0,0,1,3,3,2,2,0,0,1,1,3,0,0,2,1,2,1,0,0,3
Hannu Laturi,Kesk.,Seinäjoki,ammattitutkinto,2001,suomi,male,2,1,2,2,2,0,2,2,1,1,0,1,1,0,1,2,1,0,2,1,1,1,2,2,1
Pekka Lehtiniemi,SDP,Seinäjoki,alempi korkeakoulututkinto,1980,suomi,male,3,2,0,1,3,0,2,1,3,3,1,0,3,3,0,1,0,3,3,0,2,0,0,2,3
Eetu Lehtola,SDP,Seinäjoki,ylempi korkeakoulututkinto,1982,suomi,male,2,2,2,0,2,1,0,1,2,1,1,0,2,1,2,1,1,2,3,0,2,0,2,1,3
Markku Lehtola,SDP,Seinäjoki,alempi korkeakoulututkinto,1954,suomi,male,2,3,1,2,2,0,3,1,2,2,2,1,3,2,1,2,2,2,2,1,2,1,2,1,2
Petteri Lehtola,Vas.,Seinäjoki,alempi korkeakoulututkinto,1981,suomi,male,3,0,2,3,2,2,0,0,1,2,1,1,1,3,0,1,3,3,3,0,3,0,3,0,3
Mauno Lemettinen,Kesk.,Seinäjoki,ylioppilas,1969,suomi,male,2,2,0,1,1,0,2,3,1,2,0,1,2,1,1,2,1,1,2,1,1,1,1,2,0
Petri Lepistö,PS,Seinäjoki,alempi korkeakoulututkinto,1970,suomi,male,2,3,0,2,2,0,2,3,3,0,3,3,2,2,2,3,0,0,0,3,0,3,0,2,0
Jesse Luhtala,Kok.,Seinäjoki,ylioppilas,1993,suomi,male,3,3,3,0,0,0,3,3,3,0,2,1,0,1,1,3,2,1,3,1,1,1,1,1,0
Petri Luhtala,KD,Seinäjoki,ylempi korkeakoulututkinto,1977,suomi,male,3,1,1,3,2,0,3,2,2,3,3,0,1,2,1,3,0,0,2,2,1,1,2,1,0
Matti-pekka Luukko,KD,Seinäjoki,peruskoulu,1966,suomi,male,2,2,1,2,2,1,2,2,2,2,1,2,1,2,1,1,0,2,2,1,1,1,1,2,1
Kalle Lähdesmäki,Kesk.,Seinäjoki,ylempi korkeakoulututkinto,1952,suomi,male,2,2,2,2,2,1,2,2,1,0,2,1,2,1,1,1,2,2,2,0,2,1,2,1,1
Kristian Mahlamäki,SDP,Seinäjoki,ammattitutkinto,1990,suomi,male,3,1,3,2,3,1,0,1,1,2,2,0,3,3,0,2,2,3,3,0,3,0,3,2,3
Juha Mikkonen,Kesk.,Seinäjoki,alempi korkeakoulututkinto,1976,suomi,male,1,2,1,0,0,0,2,3,3,1,0,2,2,0,1,2,0,2,2,3,0,1,1,1,3
Mikko Muilu,Vihr.,Seinäjoki,ylempi korkeakoulututkinto,1978,suomi,male,3,1,2,1,1,2,2,2,2,2,0,2,2,3,1,1,3,3,3,0,3,0,2,1,3
Jussi Mustikkamaa,Kesk.,Seinäjoki,ammattitutkinto,1967,suomi,male,3,0,1,3,2,1,3,0,0,2,2,0,3,2,0,0,1,3,2,1,3,0,2,0,0
Timo Mylläri,Kesk.,Seinäjoki,alempi korkeakoulututkinto,1974,suomi,male,2,1,2,2,2,1,2,2,1,1,1,2,1,1,1,1,1,1,2,1,2,1,1,1,2
Tomi Mäenpää,PS,Seinäjoki,alempi korkeakoulututkinto,1988,suomi,male,3,3,2,2,2,0,3,3,3,2,0,3,3,0,3,3,0,3,2,3,0,3,0,0,0
Kimmo Mäkelä,Kesk.,Seinäjoki,ylempi korkeakoulututkinto,1990,suomi,male,3,1,3,3,0,0,3,1,0,2,2,0,0,1,1,0,3,3,3,0,3,0,2,0,3
Asko Mäkynen,Kesk.,Seinäjoki,ylempi korkeakoulututkinto,1961,suomi,male,2,2,1,2,0,1,3,3,2,2,0,1,1,1,0,1,2,2,2,1,2,1,1,0,0
Mikko Männikkö,Kesk.,Seinäjoki,ylempi korkeakoulututkinto,1976,suomi,male,1,2,1,1,1,1,1,3,3,2,1,2,2,1,1,3,1,2,2,0,2,1,1,1,2
Ari Niemelä,Kesk.,Seinäjoki,joku muu,1978,suomi,male,3,1,3,3,3,0,3,3,2,1,2,2,1,1,1,2,0,2,2,2,2,1,2,1,1
Janne Niemelä,Kok.,Seinäjoki,ylioppilas,1975,suomi,male,3,3,0,1,0,1,2,3,3,2,2,2,1,2,1,2,0,3,2,2,1,1,1,1,2
Heikki Niemi,PS,Seinäjoki,ammattitutkinto,1964,suomi,male,3,0,1,1,2,0,3,1,2,1,2,2,1,1,1,1,0,3,2,2,1,2,1,2,0
Lasse Niemi,Kok.,Seinäjoki,ylempi korkeakoulututkinto,1980,suomi,male,2,2,3,2,2,1,2,3,2,2,2,1,2,2,1,1,1,2,3,1,1,1,2,1,1
Antti Nisula,Kok.,Seinäjoki,alempi korkeakoulututkinto,1980,suomi,male,2,2,2,1,0,0,3,3,3,1,2,1,2,0,2,3,0,1,2,2,1,2,1,1,2
